Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,Population Group,Death Rate
147,Cabo Verde,63229.0,413.0,62756.0,60.0,401622.0,567678.0,< 1M,0.6531812933938541
148,Bhutan,62605.0,21.0,61564.0,1020.0,2303734.0,787941.0,< 1M,0.03354364667358837
149,Syria,57453.0,3164.0,54289.0,0.0,146269.0,19364809.0,10M - 50M,5.5071101596087235
150,Burundi,53492.0,38.0,53394.0,60.0,345742.0,12624840.0,10M - 50M,0.07103865998654005
151,Seychelles,50665.0,172.0,50440.0,53.0,0.0,99426.0,< 1M,0.3394848514753775
152,Gabon,48981.0,306.0,48674.0,1.0,1621909.0,2331533.0,1M - 10M,0.6247320389538801
153,Andorra,47839.0,165.0,47563.0,111.0,249838.0,77463.0,< 1M,0.34490687514371116
154,Papua New Guinea,46750.0,670.0,43982.0,2098.0,249149.0,9292169.0,1M - 10M,1.4331550802139037
155,Curaçao,45986.0,295.0,44720.0,971.0,496693.0,165529.0,< 1M,0.6414995868307746
156,Aruba,43993.0,236.0,42438.0,1319.0,177885.0,107609.0,< 1M,0.5364489805196281
157,Tanzania,42664.0,846.0,0.0,0.0,0.0,63298550.0,50M - 100M,1.9829364335270956
158,Mayotte,42002.0,188.0,0.0,0.0,176919.0,286259.0,< 1M,0.4475977334412647
159,Mauritius,41652.0,1043.0,39943.0,666.0,358675.0,1274727.0,1M - 10M,2.5040814366657065
160,Togo,39354.0,290.0,39061.0,3.0,806803.0,8680837.0,1M - 10M,0.7369009503481222
161,Guinea,38240.0,467.0,37757.0,16.0,660107.0,13865691.0,10M - 50M,1.2212343096234308
162,Isle of Man,38008.0,116.0,0.0,0.0,150753.0,85732.0,< 1M,0.3051989054935803
163,Bahamas,37491.0,833.0,36366.0,292.0,257839.0,400516.0,< 1M,2.2218665813128484
164,Lesotho,34790.0,723.0,25980.0,8087.0,431221.0,2175699.0,1M - 10M,2.0781833860304686
165,Faeroe Islands,34658.0,28.0,0.0,0.0,778000.0,49233.0,< 1M,0.08078942812626233
166,Haiti,34076.0,860.0,33033.0,183.0,132422.0,11680283.0,10M - 50M,2.5237703955863364
167,Mali,32783.0,743.0,31957.0,83.0,789342.0,21473764.0,10M - 50M,2.2664185706006164
168,Cayman Islands,31472.0,37.0,8553.0,22882.0,222773.0,67277.0,< 1M,0.1175648195221149
169,Saint Lucia,29803.0,409.0,29095.0,299.0,210983.0,185113.0,< 1M,1.3723450659329597
170,Benin,27989.0,163.0,27823.0,3.0,604310.0,12784726.0,10M - 50M,0.5823716460037872
